codigo,dpto,mpio,mesas_reg,mesas_testigos,cepeda_reg,cepeda_testigos,delta_cepeda,espriella_reg,espriella_testigos,delta_espriella
01291,01,291,25,25,2493,2493,0,522,522,0
01292,01,292,35,35,1373,1373,0,4928,4928,0
01293,01,293,20,20,727,727,0,2265,2265,0
01295,01,295,108,108,4985,4985,0,12617,12617,0
01298,01,298,53,53,2071,2071,0,6166,6166,0
01300,01,300,50,50,4941,4941,0,5186,5186,0
01301,01,301,66,66,5276,5276,0,3614,3614,0
03001,03,001,3434,3434,375178,375178,0,309652,309652,0
03004,03,004,158,158,23514,23514,0,11462,11462,0
03007,03,007,70,70,4448,4448,0,6764,6764,0
03010,03,010,44,44,3132,3132,0,4579,4579,0
03013,03,013,134,134,19739,19739,0,7774,7774,0
03016,03,016,58,58,4980,4980,0,6644,6644,0
03019,03,019,77,77,6915,6915,0,6599,6599,0
03022,03,022,274,274,40114,40114,0,14368,14368,0
03025,03,025,49,49,2755,2755,0,4995,4995,0
03028,03,028,68,68,10125,10125,0,4711,4711,0
03031,03,031,19,19,1883,1883,0,1709,1709,0
03034,03,034,44,44,7171,7171,0,2610,2610,0
03035,03,035,63,63,6437,6437,0,5111,5111,0
03037,03,037,117,117,15357,15357,0,9728,9728,0
03040,03,040,67,67,6553,6553,0,5447,5447,0
03043,03,043,77,77,10689,10689,0,5535,5535,0
03046,03,046,224,224,32762,32762,0,15432,15432,0
03047,03,047,39,39,2182,2182,0,4550,4550,0
03049,03,049,80,80,11140,11140,0,5482,5482,0
03052,03,052,1000,1000,136134,136134,0,63916,63916,0
03055,03,055,34,34,2216,2216,0,3672,3672,0
03058,03,058,34,34,4890,4890,0,2552,2552,0
03061,03,061,26,26,4089,4089,0,1799,1799,0
05001,05,001,2518,2517,324123,324123,0,166049,166049,0
05004,05,004,63,63,2866,2866,0,7061,7061,0
05005,05,005,24,24,2292,2292,0,1441,1441,0
05006,05,006,26,26,1478,1478,0,2556,2556,0
05007,05,007,171,171,23546,23546,0,9366,9366,0
05009,05,009,33,33,1324,1324,0,3525,3525,0
05010,05,010,40,40,2518,2518,0,3956,3956,0
05013,05,013,62,62,4619,4619,0,5847,5847,0
05014,05,014,26,26,3271,3271,0,2041,2041,0
05015,05,015,36,36,3631,3631,0,2513,2513,0
05016,05,016,49,49,5131,5131,0,3659,3659,0
05018,05,018,39,39,4639,4639,0,2530,2530,0
05022,05,022,190,190,13045,13045,0,19367,19367,0
05025,05,025,27,27,2016,2016,0,2560,2560,0
05026,05,026,39,39,1994,1994,0,4283,4283,0
05027,05,027,24,24,1580,1580,0,1811,1811,0
05028,05,028,315,315,34408,34408,0,20048,20048,0
05031,05,031,68,68,6164,6164,0,5172,5172,0
05037,05,037,35,35,1603,1603,0,3466,3466,0
05040,05,040,138,138,14766,14766,0,6184,6184,0
05041,05,041,37,37,2558,2558,0,2085,2085,0
05043,05,043,127,127,10744,10744,0,10185,10185,0
05044,05,044,43,43,2778,2778,0,5325,5325,0
05050,05,050,21,21,1788,1788,0,901,901,0
05059,05,059,66,66,2796,2796,0,6479,6479,0
05063,05,063,20,20,1639,1639,0,1362,1362,0
05065,05,065,24,24,1702,1702,0,2249,2249,0
05070,05,070,48,48,4260,4260,0,5070,5070,0
05072,05,072,24,24,3039,3039,0,1786,1786,0
05073,05,073,35,35,2129,2129,0,2636,2636,0
05076,05,076,68,68,6493,6493,0,6710,6710,0
05078,05,078,24,24,1345,1345,0,2432,2432,0
05079,05,079,98,98,7728,7728,0,9941,9941,0
05082,05,082,40,40,3315,3315,0,3446,3446,0
05084,05,084,65,65,6645,6645,0,4809,4809,0
05091,05,091,43,43,5675,5675,0,1857,1857,0
05094,05,094,50,50,7292,7292,0,2374,2374,0
05095,05,095,87,87,3773,3773,0,12161,12161,0
05097,05,097,50,50,2842,2842,0,4933,4933,0
05106,05,106,26,26,4575,4575,0,1298,1298,0
05110,05,110,34,34,2501,2501,0,3599,3599,0
05113,05,113,51,51,3264,3264,0,3518,3518,0
05118,05,118,220,220,30272,30272,0,14803,14803,0
05121,05,121,50,50,7877,7877,0,2665,2665,0
05124,05,124,52,52,5216,5216,0,4044,4044,0
05127,05,127,29,29,4610,4610,0,1355,1355,0
07001,07,001,404,404,57709,57709,0,47609,47609,0
07007,07,007,6,6,315,315,0,818,818,0
07008,07,008,45,45,1760,1760,0,7053,7053,0
07010,07,010,15,15,1259,1259,0,2388,2388,0
07013,07,013,21,21,1594,1594,0,3281,3281,0
07016,07,016,5,5,431,431,0,575,575,0
