codigo,dpto,mpio,mesas_total,mesas_escrutadas,censo,votantes,abstencion,nulos,no_marcados,blancos,validos,iván cepeda castro,abelardo de la espriella,,,
01193,01,193,10,10,3003,1843,1160,11,5,15,1827,374,1438,0,15,0
01196,01,196,54,54,18903,12620,6283,72,20,166,12528,2168,10194,0,166,0
01199,01,199,22,22,6756,3524,3232,24,10,57,3490,1169,2264,0,57,0
01202,01,202,21,21,7431,4192,3239,17,17,48,4158,760,3350,0,48,0
01205,01,205,107,107,34906,16875,18031,187,39,312,16649,7237,9100,0,312,0
01206,01,206,47,47,15284,8745,6539,66,21,110,8658,2523,6025,0,110,0
01208,01,208,72,72,23910,11415,12495,211,138,469,11066,6285,4312,0,469,0
01211,01,211,67,67,23005,18059,4946,77,20,333,17962,3019,14610,0,333,0
01214,01,214,392,392,135018,102328,32690,976,68,2126,101284,24993,74165,0,2126,0
01217,01,217,24,24,7850,4295,3555,24,8,65,4263,788,3410,0,65,0
01218,01,218,289,289,99546,72437,27109,407,31,1636,71999,17612,52751,0,1636,0
01220,01,220,43,43,14228,7108,7120,43,22,76,7043,724,6243,0,76,0
01223,01,223,21,21,5751,2664,3087,45,17,97,2602,677,1828,0,97,0
01226,01,226,48,48,15633,9304,6329,44,25,146,9235,1937,7152,0,146,0
01227,01,227,19,19,6600,3202,3398,14,11,25,3177,591,2561,0,25,0
01229,01,229,42,42,13854,8311,5543,85,23,149,8203,1882,6172,0,149,0
01230,01,230,10,10,3273,1739,1534,18,7,49,1714,307,1358,0,49,0
01231,01,231,64,64,21117,10309,10808,32,28,128,10249,4318,5803,0,128,0
01232,01,232,38,38,12362,7420,4942,34,15,101,7371,1404,5866,0,101,0
01235,01,235,71,71,24029,15937,8092,190,22,399,15725,3272,12054,0,399,0
01237,01,237,90,90,29573,14123,15450,56,36,188,14031,3782,10061,0,188,0
01238,01,238,41,41,13798,8260,5538,71,30,147,8159,1845,6167,0,147,0
01241,01,241,50,50,16675,9456,7219,79,32,160,9345,1800,7385,0,160,0
01244,01,244,54,54,17686,12460,5226,83,31,191,12346,1877,10278,0,191,0
01247,01,247,69,69,22612,12905,9707,159,41,233,12705,3810,8662,0,233,0
01250,01,250,91,91,29562,17895,11667,283,66,454,17546,3677,13415,0,454,0
01253,01,253,32,32,9634,5871,3763,73,19,99,5779,1164,4516,0,99,0
01256,01,256,91,91,31144,23054,8090,149,28,327,22877,3195,19355,0,327,0
01259,01,259,99,99,33611,15626,17985,200,43,521,15383,10036,4826,0,521,0
01262,01,262,95,95,28172,17663,10509,164,37,277,17462,2589,14596,0,277,0
01265,01,265,43,43,13759,8301,5458,63,21,126,8217,2359,5732,0,126,0
01268,01,268,45,45,15149,9377,5772,76,35,170,9266,2753,6343,0,170,0
01270,01,270,75,75,25378,9295,16083,120,44,164,9131,5938,3029,0,164,0
01271,01,271,18,18,6068,3301,2767,19,9,51,3273,1010,2212,0,51,0
01274,01,274,27,27,8669,4496,4173,41,11,79,4444,1161,3204,0,79,0
01277,01,277,14,14,4694,2130,2564,50,13,90,2067,646,1331,0,90,0
01280,01,280,299,299,99961,53889,46072,416,90,753,53383,35181,17449,0,753,0
01282,01,282,21,21,6767,3514,3253,35,6,51,3473,913,2509,0,51,0
01283,01,283,78,78,26022,12217,13805,109,36,226,12072,2895,8951,0,226,0
01286,01,286,37,37,12594,4742,7852,57,28,80,4657,2394,2183,0,80,0
01289,01,289,17,17,5677,3470,2207,32,9,58,3429,1098,2273,0,58,0
01290,01,290,37,37,12320,6073,6247,62,26,182,5985,1203,4600,0,182,0
01291,01,291,25,25,6906,3048,3858,12,9,12,3027,2493,522,0,12,0
01292,01,292,35,35,11398,6433,4965,37,11,84,6385,1373,4928,0,84,0
01293,01,293,20,20,6517,3090,3427,22,14,62,3054,727,2265,0,62,0
01295,01,295,108,108,35286,18465,16821,285,70,508,18110,4985,12617,0,508,0
01298,01,298,53,53,17356,8528,8828,76,38,177,8414,2071,6166,0,177,0
01300,01,300,50,50,16121,10486,5635,172,21,166,10293,4941,5186,0,166,0
01301,01,301,66,66,21838,9259,12579,150,37,182,9072,5276,3614,0,182,0
03001,03,001,3434,3434,1186097,695177,490920,2336,448,7563,692393,375178,309652,0,7563,0
03004,03,004,158,158,53101,35375,17726,105,31,263,35239,23514,11462,0,263,0
03007,03,007,70,70,23605,11338,12267,30,10,86,11298,4448,6764,0,86,0
03010,03,010,44,44,14829,7807,7022,33,11,52,7763,3132,4579,0,52,0
03013,03,013,134,134,46368,27849,18519,106,22,208,27721,19739,7774,0,208,0
03016,03,016,58,58,19691,11747,7944,33,15,75,11699,4980,6644,0,75,0
03019,03,019,77,77,26393,13710,12683,70,24,102,13616,6915,6599,0,102,0
03022,03,022,274,274,94794,55146,39648,214,39,411,54893,40114,14368,0,411,0
03025,03,025,49,49,17106,7848,9258,21,9,68,7818,2755,4995,0,68,0
03028,03,028,68,68,23661,15019,8642,41,14,128,14964,10125,4711,0,128,0
03031,03,031,19,19,5906,3624,2282,6,4,22,3614,1883,1709,0,22,0
03034,03,034,44,44,15174,9877,5297,37,13,46,9827,7171,2610,0,46,0
03035,03,035,63,63,21080,11693,9387,49,18,78,11626,6437,5111,0,78,0
03037,03,037,117,117,39762,25375,14387,66,11,213,25298,15357,9728,0,213,0
03040,03,040,67,67,22341,12186,10155,53,27,106,12106,6553,5447,0,106,0
03043,03,043,77,77,26426,16437,9989,51,21,141,16365,10689,5535,0,141,0
03046,03,046,224,224,76674,48822,27852,231,46,351,48545,32762,15432,0,351,0
03047,03,047,39,39,13465,6807,6658,23,10,42,6774,2182,4550,0,42,0
03049,03,049,80,80,27540,16838,10702,64,13,139,16761,11140,5482,0,139,0
03052,03,052,1000,1000,343745,203039,140706,737,379,1873,201923,136134,63916,0,1873,0
03055,03,055,34,34,11870,5973,5897,19,3,63,5951,2216,3672,0,63,0
03058,03,058,34,34,10777,7512,3265,22,6,42,7484,4890,2552,0,42,0
03061,03,061,26,26,9110,5960,3150,32,10,30,5918,4089,1799,0,30,0
05001,05,001,2518,2517,866447,498693,367754,1614,328,6579,496751,324123,166049,1,6579,0
05004,05,004,63,63,18850,10042,8808,28,22,65,9992,2866,7061,0,65,0
05005,05,005,24,24,6997,3808,3189,26,8,41,3774,2292,1441,0,41,0
05006,05,006,26,26,8570,4089,4481,16,8,31,4065,1478,2556,0,31,0
05007,05,007,171,171,59799,33552,26247,196,47,397,33309,23546,9366,0,397,0
05009,05,009,33,33,10952,4915,6037,18,7,41,4890,1324,3525,0,41,0
05010,05,010,40,40,13081,6549,6532,15,10,50,6524,2518,3956,0,50,0
05013,05,013,62,62,21022,10674,10348,71,27,110,10576,4619,5847,0,110,0
05014,05,014,26,26,8672,5383,3289,27,8,36,5348,3271,2041,0,36,0
05015,05,015,36,36,11673,6210,5463,23,8,35,6179,3631,2513,0,35,0
05016,05,016,49,49,15550,8889,6661,19,12,68,8858,5131,3659,0,68,0
05018,05,018,39,39,13214,7295,5919,37,20,69,7238,4639,2530,0,69,0
05022,05,022,190,190,61998,33012,28986,204,44,352,32764,13045,19367,0,352,0
05025,05,025,27,27,8429,4622,3807,10,7,29,4605,2016,2560,0,29,0
05026,05,026,39,39,12492,6336,6156,26,8,25,6302,1994,4283,0,25,0
05027,05,027,24,24,6847,3415,3432,8,5,11,3402,1580,1811,0,11,0
05028,05,028,315,315,104516,55218,49298,237,74,451,54907,34408,20048,0,451,0
05031,05,031,68,68,22905,11504,11401,49,25,94,11430,6164,5172,0,94,0
05037,05,037,35,35,10517,5111,5406,9,5,28,5097,1603,3466,0,28,0
05040,05,040,138,138,45030,21267,23763,96,32,189,21139,14766,6184,0,189,0
05041,05,041,37,37,10807,4732,6075,18,11,60,4703,2558,2085,0,60,0
05043,05,043,127,127,39829,21172,18657,82,19,142,21071,10744,10185,0,142,0
05044,05,044,43,43,13136,8244,4892,48,13,80,8183,2778,5325,0,80,0
05050,05,050,21,21,5495,2736,2759,12,3,32,2721,1788,901,0,32,0
05059,05,059,66,66,19007,9361,9646,26,16,44,9319,2796,6479,0,44,0
05063,05,063,20,20,5664,3033,2631,7,5,20,3021,1639,1362,0,20,0
05065,05,065,24,24,7017,4014,3003,16,7,40,3991,1702,2249,0,40,0
05070,05,070,48,48,16556,9483,7073,36,18,99,9429,4260,5070,0,99,0
05072,05,072,24,24,8171,4877,3294,5,5,42,4867,3039,1786,0,42,0
05073,05,073,35,35,10249,4812,5437,15,9,23,4788,2129,2636,0,23,0
05076,05,076,68,68,22212,13357,8855,47,12,95,13298,6493,6710,0,95,0
05078,05,078,24,24,7467,3809,3658,5,4,23,3800,1345,2432,0,23,0
05079,05,079,98,98,32807,17980,14827,85,28,198,17867,7728,9941,0,198,0
05082,05,082,40,40,13106,6829,6277,27,8,33,6794,3315,3446,0,33,0
05084,05,084,65,65,21137,11685,9452,79,22,130,11584,6645,4809,0,130,0
