codigo,dpto,mpio,mesas_total,mesas_escrutadas,censo,votantes,abstencion,nulos,no_marcados,blancos,validos,iván cepeda castro,abelardo de la espriella,,,
09085,09,085,53,53,16297,9497,6800,129,29,199,9339,2237,6903,0,199,0
09103,09,103,125,125,41284,26801,14483,560,64,512,26177,12182,13483,0,512,0
09106,09,106,32,32,10544,5908,4636,88,25,106,5795,1593,4096,0,106,0
09109,09,109,45,45,14703,8398,6305,153,31,174,8214,2327,5713,0,174,0
09115,09,115,54,54,16703,9770,6933,143,34,160,9593,2155,7278,0,160,0
09120,09,120,16,16,4960,2936,2024,34,11,54,2891,925,1912,0,54,0
09124,09,124,74,74,24049,14067,9982,428,44,297,13595,5780,7518,0,297,0
09127,09,127,26,26,8387,4974,3413,85,17,67,4872,1492,3313,0,67,0
09130,09,130,147,147,48521,34113,14408,596,49,747,33468,15021,17700,0,747,0
09133,09,133,44,44,13569,8111,5458,100,15,111,7996,2285,5600,0,111,0
11001,11,001,785,785,269520,200345,69175,2170,213,3196,197962,128296,66470,0,3196,0
11004,11,004,43,43,12877,9758,3119,109,27,174,9622,9035,413,0,174,0
11005,11,005,73,73,22907,18034,4873,547,26,274,17461,15849,1338,0,274,0
11006,11,006,55,55,17796,14851,2945,499,28,254,14324,12408,1662,0,254,0
11007,11,007,122,122,29820,22372,7448,791,77,544,21504,19406,1554,0,544,0
11010,11,010,61,61,18493,14078,4415,585,102,387,13391,8688,4316,0,387,0
11013,11,013,83,83,26783,20002,6781,501,143,409,19358,13051,5898,0,409,0
11016,11,016,81,81,26334,20301,6033,251,30,164,20020,17364,2492,0,164,0
11019,11,019,68,68,21544,16572,4972,192,22,175,16358,13217,2966,0,175,0
11022,11,022,59,59,19614,14807,4807,117,46,170,14644,12017,2457,0,170,0
11025,11,025,145,145,40574,32356,8218,984,203,703,31169,22753,7713,0,703,0
11027,11,027,16,16,5065,4055,1010,109,26,182,3920,2925,813,0,182,0
11028,11,028,71,71,19226,10831,8395,91,6,46,10734,10097,591,0,46,0
11029,11,029,47,47,14749,11044,3705,165,8,104,10871,9076,1691,0,104,0
11031,11,031,65,65,19391,13542,5849,104,45,81,13393,10734,2578,0,81,0
11034,11,034,33,33,10320,9071,1249,39,13,53,9019,8766,200,0,53,0
11037,11,037,29,29,9228,6579,2649,153,29,108,6397,4286,2003,0,108,0
11040,11,040,53,53,14985,10100,4885,102,19,85,9979,8123,1771,0,85,0
11043,11,043,61,61,13722,8634,5088,80,25,109,8529,7871,549,0,109,0
11046,11,046,48,48,13969,9686,4283,156,58,239,9472,7867,1366,0,239,0
11049,11,049,70,70,22203,16396,5807,136,18,174,16242,12996,3072,0,174,0
11052,11,052,75,75,23285,17759,5526,294,54,331,17411,12333,4747,0,331,0
11053,11,053,24,24,7325,4674,2651,91,6,47,4577,3659,871,0,47,0
11055,11,055,82,82,22832,16030,6802,136,40,139,15854,13475,2240,0,139,0
11058,11,058,95,95,28400,20914,7486,484,75,354,20355,15757,4244,0,354,0
11060,11,060,26,26,6733,3722,3011,44,12,82,3666,2472,1112,0,82,0
11061,11,061,102,102,32375,22036,10339,333,42,340,21661,13317,8004,0,340,0
11064,11,064,104,104,35830,23886,11944,229,17,232,23640,20345,3063,0,232,0
11067,11,067,31,31,10038,6954,3084,55,26,72,6873,5077,1724,0,72,0
11070,11,070,28,28,8785,6121,2664,125,21,70,5975,3860,2045,0,70,0
11073,11,073,24,24,7048,4797,2251,42,24,56,4731,3823,852,0,56,0
11076,11,076,250,250,87246,63535,23711,904,127,875,62504,45798,15831,0,875,0
11079,11,079,18,18,4121,2615,1506,17,3,26,2595,1845,724,0,26,0
11082,11,082,80,80,24598,17269,7329,282,51,198,16936,13726,3012,0,198,0
11085,11,085,29,29,7670,5319,2351,59,10,89,5250,3633,1528,0,89,0
11086,11,086,22,22,5914,4594,1320,65,9,62,4520,4178,280,0,62,0
11087,11,087,62,62,19081,14088,4993,648,49,322,13391,9318,3751,0,322,0
11088,11,088,89,89,28850,21180,7670,353,43,355,20784,13067,7362,0,355,0
11091,11,091,60,60,15903,10398,5505,26,1,16,10371,10101,254,0,16,0
11094,11,094,67,67,21550,18101,3449,118,25,131,17958,16826,1001,0,131,0
11097,11,097,45,45,13402,9814,3588,94,13,71,9707,8488,1148,0,71,0
11098,11,098,46,46,15869,11009,4860,159,13,86,10837,9556,1195,0,86,0
12001,12,001,996,996,348470,214446,134024,1521,164,2790,212761,111694,98277,0,2790,0
12075,12,075,237,237,77716,49835,27881,527,47,653,49261,17595,31013,0,653,0
12150,12,150,155,155,54027,30494,23533,220,59,309,30215,17897,12009,0,309,0
12170,12,170,51,51,17193,10167,7026,33,12,76,10122,4422,5624,0,76,0
12180,12,180,60,60,20407,11283,9124,77,15,117,11191,6965,4109,0,117,0
12200,12,200,97,97,33616,19101,14515,106,29,198,18966,11165,7603,0,198,0
12225,12,225,96,96,31317,18011,13306,202,15,201,17794,9840,7753,0,201,0
12300,12,300,84,84,26186,14234,11952,58,12,84,14164,6288,7792,0,84,0
12375,12,375,73,73,25033,13933,11100,86,9,108,13838,8359,5371,0,108,0
12410,12,410,78,78,26182,14964,11218,65,23,127,14876,9404,5345,0,127,0
12415,12,415,87,87,29903,18827,11076,116,24,168,18687,12596,5923,0,168,0
12450,12,450,38,38,11520,7043,4477,23,10,54,7010,2487,4469,0,54,0
12525,12,525,20,20,5060,2886,2174,31,1,71,2854,848,1935,0,71,0
12600,12,600,39,39,11948,7808,4140,52,8,66,7748,3274,4408,0,66,0
12608,12,608,97,97,32766,19325,13441,212,17,229,19096,11855,7012,0,229,0
12625,12,625,30,30,9290,5952,3338,39,10,41,5903,2970,2892,0,41,0
12650,12,650,50,50,16717,9910,6807,79,11,94,9820,4232,5494,0,94,0
12700,12,700,51,51,17485,10242,7243,94,17,111,10131,3795,6225,0,111,0
12720,12,720,72,72,23911,13403,10508,96,58,122,13249,8345,4782,0,122,0
12750,12,750,55,55,17091,10561,6530,69,9,128,10483,3310,7045,0,128,0
12800,12,800,63,63,20555,12637,7918,132,15,135,12490,5937,6418,0,135,0
12825,12,825,71,71,23752,13230,10522,69,8,113,13153,5097,7943,0,113,0
12850,12,850,55,55,17710,10783,6927,69,12,123,10702,5069,5510,0,123,0
12875,12,875,62,62,19834,13160,6674,186,20,167,12954,5120,7667,0,167,0
12900,12,900,37,37,11450,6267,5183,29,7,39,6231,3166,3026,0,39,0
13001,13,001,1090,1090,374004,242756,131248,1293,248,2659,241215,132930,105626,0,2659,0
13004,13,004,113,113,36724,18844,17880,109,35,172,18700,8727,9801,0,172,0
13007,13,007,63,63,19373,11075,8298,42,17,101,11016,7271,3644,0,101,0
13009,13,009,59,59,18464,10389,8075,26,21,57,10342,6119,4166,0,57,0
13010,13,010,230,230,79044,53564,25480,277,39,536,53248,34007,18705,0,536,0
13013,13,013,147,147,48770,32046,16724,142,48,226,31856,22968,8662,0,226,0
13014,13,014,51,51,16866,10926,5940,30,8,80,10888,6219,4589,0,80,0
13016,13,016,43,43,13673,8764,4909,21,6,46,8737,4705,3986,0,46,0
13019,13,019,132,132,40358,26953,13405,163,31,276,26759,10780,15703,0,276,0
13020,13,020,39,39,13069,7490,5579,43,19,78,7428,5479,1871,0,78,0
13022,13,022,279,279,93485,56091,37394,222,64,452,55805,34173,21180,0,452,0
13023,13,023,56,56,17303,9708,7595,35,21,90,9652,4576,4986,0,90,0
13024,13,024,44,44,15043,9540,5503,35,11,100,9494,4687,4707,0,100,0
13025,13,025,178,178,63005,38341,24664,199,41,390,38101,28685,9026,0,390,0
13027,13,027,68,68,22405,13150,9255,39,23,77,13088,6451,6560,0,77,0
13028,13,028,155,155,57122,32768,24354,224,46,317,32498,18347,13834,0,317,0
13031,13,031,89,89,27803,17308,10495,75,21,168,17212,8602,8442,0,168,0
13032,13,032,99,99,32704,19445,13259,100,40,293,19305,14208,4804,0,293,0
13033,13,033,63,63,20318,11665,8653,27,11,64,11627,5444,6119,0,64,0
13034,13,034,45,45,14689,8912,5777,37,19,70,8856,3766,5020,0,70,0
13037,13,037,261,261,85106,52893,32213,295,47,471,52551,30173,21907,0,471,0
13040,13,040,97,97,32490,21601,10889,101,39,153,21461,14114,7194,0,153,0
13043,13,043,75,75,24949,15553,9396,61,30,142,15462,8112,7208,0,142,0
13046,13,046,92,92,28983,15601,13382,49,25,122,15527,10232,5173,0,122,0
13049,13,049,67,67,21940,12614,9326,50,28,101,12536,6105,6330,0,101,0
13052,13,052,30,30,8719,5173,3546,16,5,44,5152,4163,945,0,44,0
13055,13,055,116,116,38845,25311,13534,87,28,177,25196,13661,11358,0,177,0
13058,13,058,223,223,72667,38895,33772,235,49,412,38611,24717,13482,0,412,0
13060,13,060,86,86,28195,18430,9765,132,57,121,18241,11745,6375,0,121,0
13061,13,061,90,90,28857,15983,12874,52,32,129,15899,7983,7787,0,129,0
15004,15,004,28,28,9859,6470,3389,71,5,78,6394,2924,3392,0,78,0
15007,15,007,17,17,5545,3790,1755,66,6,53,3718,1188,2477,0,53,0
15010,15,010,39,39,13526,9411,4115,66,13,122,9332,2976,6234,0,122,0
15013,15,013,36,36,12210,8282,3928,65,9,135,8208,2370,5703,0,135,0
15016,15,016,29,29,9924,7202,2722,51,10,99,7141,2294,4748,0,99,0
15019,15,019,7,7,2242,1401,841,9,1,7,1391,533,851,0,7,0
15022,15,022,10,10,2930,1825,1105,9,4,30,1812,455,1327,0,30,0
15025,15,025,22,22,7695,5903,1792,115,8,99,5780,3126,2555,0,99,0
15029,15,029,11,11,3588,2237,1351,13,0,17,2224,1411,796,0,17,0
15030,15,030,29,29,9939,6948,2991,66,7,91,6875,2282,4502,0,91,0
15031,15,031,199,199,68439,54751,13688,507,18,1309,54226,21913,31004,0,1309,0
15034,15,034,35,35,10738,6559,4179,36,12,66,6511,929,5516,0,66,0
15037,15,037,44,44,14914,10740,4174,110,13,150,10617,3592,6875,0,150,0
15040,15,040,19,19,6379,4598,1781,49,7,85,4542,996,3461,0,85,0
15043,15,043,50,50,17144,13683,3461,154,7,248,13522,6502,6772,0,248,0
15046,15,046,90,90,31558,23376,8182,202,13,556,23161,8575,14030,0,556,0
15049,15,049,16,16,5388,4240,1148,48,4,58,4188,722,3408,0,58,0
15052,15,052,12,12,3984,2560,1424,14,7,19,2539,554,1966,0,19,0
15055,15,055,355,355,124222,96920,27302,758,35,2212,96127,35917,57998,0,2212,0
15058,15,058,25,25,8580,6433,2147,58,5,81,6370,1982,4307,0,81,0
15061,15,061,36,36,12177,9178,2999,51,3,132,9124,2195,6797,0,132,0
15064,15,064,50,50,17046,12470,4576,166,16,193,12288,3870,8225,0,193,0
15067,15,067,71,71,24239,16241,7998,158,17,199,16066,6314,9553,0,199,0
15070,15,070,15,15,4592,2970,1622,16,8,28,2946,447,2471,0,28,0
15072,15,072,62,62,21040,15923,5117,339,14,286,15570,7298,7986,0,286,0
15076,15,076,306,306,104308,77489,26819,1455,46,1427,75988,43913,30648,0,1427,0
15079,15,079,30,30,9940,7476,2464,33,8,93,7435,1335,6007,0,93,0
15085,15,085,17,17,5549,3983,1566,8,1,43,3974,595,3336,0,43,0
15088,15,088,242,242,81479,61865,19614,866,13,1236,60986,33048,26702,0,1236,0
15091,15,091,13,13,4297,3231,1066,27,3,73,3201,1076,2052,0,73,0
15094,15,094,367,367,124137,87351,36786,823,47,1470,86481,34662,50349,0,1470,0
15097,15,097,18,18,5153,3106,2047,20,6,33,3080,831,2216,0,33,0
15100,15,100,38,38,13081,10129,2952,144,9,192,9976,5831,3953,0,192,0
15103,15,103,26,26,8830,5806,3024,42,14,104,5750,1574,4072,0,104,0
15106,15,106,9,9,3143,2150,993,18,5,26,2127,488,1613,0,26,0
15109,15,109,256,256,87128,59520,27608,652,28,797,58840,26524,31519,0,797,0
15112,15,112,28,28,9577,6689,2888,108,15,162,6566,1662,4742,0,162,0
15115,15,115,73,73,22649,15132,7517,148,20,232,14964,4941,9791,0,232,0
15118,15,118,37,37,12564,9289,3275,197,10,222,9082,3838,5022,0,222,0
15121,15,121,8,8,2758,1617,1141,6,1,10,1610,638,962,0,10,0
15124,15,124,16,16,5664,4423,1241,46,7,96,4370,1235,3039,0,96,0
15127,15,127,15,15,4560,3314,1246,26,7,59,3281,998,2224,0,59,0
15128,15,128,14,14,4648,3400,1248,20,6,23,3374,858,2493,0,23,0
15130,15,130,9,9,2870,2136,734,6,1,13,2129,269,1847,0,13,0
15132,15,132,20,20,6794,4834,1960,53,3,61,4778,2282,2435,0,61,0
15133,15,133,9,9,2841,1819,1022,2,1,11,1816,499,1306,0,11,0
15136,15,136,17,17,5406,3697,1709,34,9,48,3654,945,2661,0,48,0
15139,15,139,77,77,25657,19157,6500,185,10,428,18962,8462,10072,0,428,0
15142,15,142,86,86,28402,19492,8910,177,22,296,19293,7192,11805,0,296,0
15145,15,145,26,26,8355,4868,3487,28,13,46,4827,1352,3429,0,46,0
15148,15,148,19,19,6054,4187,1867,16,12,37,4159,626,3496,0,37,0
15151,15,151,42,42,14607,10271,4336,75,10,131,10186,2695,7360,0,131,0
15154,15,154,23,23,7578,6016,1562,47,9,85,5960,687,5188,0,85,0
15157,15,157,19,19,6610,4802,1808,22,8,64,4772,869,3839,0,64,0
15160,15,160,274,274,93544,72150,21394,1069,41,1452,71040,40102,29486,0,1452,0
15163,15,163,12,12,4024,2960,1064,11,5,38,2944,565,2341,0,38,0
15166,15,166,25,25,6883,4688,2195,39,6,57,4643,859,3727,0,57,0
15169,15,169,289,289,99110,77077,22033,808,29,1617,76240,40213,34410,0,1617,0
15172,15,172,9,9,2937,1908,1029,5,4,17,1899,894,988,0,17,0
15175,15,175,34,34,11727,9029,2698,157,6,135,8866,4184,4547,0,135,0
15178,15,178,19,19,6281,3867,2414,28,3,51,3836,1270,2515,0,51,0
15181,15,181,11,11,3439,2472,967,9,5,26,2458,459,1973,0,26,0
15184,15,184,16,16,5433,3870,1563,24,3,45,3843,1306,2492,0,45,0
15190,15,190,71,71,23506,16015,7491,124,16,250,15875,3939,11686,0,250,0
15193,15,193,17,17,5143,3062,2081,8,5,27,3049,608,2414,0,27,0
15196,15,196,13,13,4419,2882,1537,15,8,22,2859,1104,1733,0,22,0
15198,15,198,26,26,7784,5170,2614,49,9,38,5112,1291,3783,0,38,0
15199,15,199,25,25,8541,6036,2505,50,7,64,5979,3131,2784,0,64,0
15202,15,202,40,40,13344,7970,5374,103,10,94,7857,3342,4421,0,94,0
15205,15,205,11,11,2887,1609,1278,6,5,16,1598,421,1161,0,16,0
15208,15,208,14,14,4356,3302,1054,20,7,41,3275,492,2742,0,41,0
15211,15,211,18,18,5896,4402,1494,37,4,47,4361,1487,2827,0,47,0
15214,15,214,20,20,6221,4077,2144,21,17,39,4039,770,3230,0,39,0
15217,15,217,22,22,7299,4991,2308,45,6,52,4940,1606,3282,0,52,0
15218,15,218,40,40,13415,8858,4557,73,4,104,8781,3325,5352,0,104,0
15220,15,220,28,28,9533,6827,2706,46,3,81,6778,2520,4177,0,81,0
15223,15,223,24,24,7842,4975,2867,26,6,40,4943,1683,3220,0,40,0
15226,15,226,16,16,4452,2743,1709,6,3,36,2734,388,2310,0,36,0
15229,15,229,31,31,9807,6822,2985,53,6,105,6763,1923,4735,0,105,0
15232,15,232,29,29,9104,5851,3253,30,7,57,5814,1737,4020,0,57,0
15235,15,235,29,29,9558,6599,2959,67,4,74,6528,1897,4557,0,74,0
15238,15,238,29,29,9784,7544,2240,133,13,155,7398,3601,3642,0,155,0
15239,15,239,83,83,28107,20342,7765,259,17,335,20066,10706,9025,0,335,0
15241,15,241,61,61,20556,14393,6163,142,18,190,14233,4901,9142,0,190,0
15244,15,244,31,31,10287,7393,2894,77,9,123,7307,2213,4971,0,123,0
15247,15,247,1046,1046,362686,272989,89697,3179,113,4413,269697,175011,90273,0,4413,0
15250,15,250,64,64,21119,16969,4150,191,8,381,16770,9055,7334,0,381,0
15256,15,256,40,40,13337,10332,3005,127,3,203,10202,2904,7095,0,203,0
15259,15,259,36,36,12064,9303,2761,171,17,191,9115,5110,3814,0,191,0
15262,15,262,14,14,4708,3284,1424,17,10,43,3257,656,2558,0,43,0
15265,15,265,16,16,5636,4206,1430,23,7,74,4176,1029,3073,0,74,0
15268,15,268,13,13,4375,3292,1083,39,4,70,3249,940,2239,0,70,0
15271,15,271,57,57,19093,14556,4537,176,6,315,14374,5905,8154,0,315,0
15274,15,274,20,20,6433,4930,1503,56,3,114,4871,965,3792,0,114,0
15277,15,277,24,24,7979,5639,2340,28,6,74,5605,1921,3610,0,74,0
15280,15,280,56,56,19593,15335,4258,248,22,381,15065,6157,8527,0,381,0
15283,15,283,14,14,4579,3143,1436,24,6,37,3113,1232,1844,0,37,0
15286,15,286,9,9,3017,2035,982,15,5,21,2015,610,1384,0,21,0
15289,15,289,38,38,13044,7837,5207,68,6,95,7763,2707,4961,0,95,0
15292,15,292,127,127,43119,34671,8448,534,13,679,34124,21023,12422,0,679,0
15295,15,295,13,13,4342,2559,1783,11,5,29,2543,452,2062,0,29,0
15298,15,298,33,33,8784,5388,3396,31,16,66,5341,1140,4135,0,66,0
15301,15,301,19,19,6318,4715,1603,52,6,58,4657,1242,3357,0,58,0
15304,15,304,113,113,37209,27420,9789,426,18,607,26976,9191,17178,0,607,0
15307,15,307,21,21,6806,5077,1729,46,2,87,5029,1344,3598,0,87,0
15316,15,316,15,15,5032,3504,1528,16,4,32,3484,458,2994,0,32,0
15318,15,318,13,13,3789,2408,1381,8,2,25,2398,954,1419,0,25,0
15319,15,319,23,23,7214,4659,2555,29,6,57,4624,896,3671,0,57,0
15322,15,322,13,13,4365,3034,1331,14,2,32,3018,864,2122,0,32,0
15323,15,323,7,7,2131,1392,739,10,1,15,1381,364,1002,0,15,0
15325,15,325,42,42,14633,11672,2961,108,8,222,11556,2247,9087,0,222,0
15328,15,328,77,77,25415,17641,7774,134,17,255,17490,4683,12552,0,255,0
15331,15,331,37,37,12161,7839,4322,54,13,74,7772,3021,4677,0,74,0
15334,15,334,37,37,10829,6278,4551,35,12,51,6231,980,5200,0,51,0
15337,15,337,13,13,4351,3098,1253,46,6,51,3046,1172,1823,0,51,0
15340,15,340,332,332,113388,88884,24504,1051,45,1808,87788,49918,36062,0,1808,0
16001,16,001,17164,17164,6076599,4293241,1783358,31445,1523,91516,4260273,2235514,1933243,0,91516,0
17001,17,001,271,271,88487,49815,38672,664,269,542,48882,39917,8423,0,542,0
17002,17,002,28,28,8536,4702,3834,51,3,29,4648,3936,683,0,29,0
17004,17,004,36,36,10929,5198,5731,28,17,62,5153,2554,2537,0,62,0
17006,17,006,53,53,12001,6572,5429,9,1,9,6562,6345,208,0,9,0
17007,17,007,30,30,8439,3912,4527,13,4,11,3895,3461,423,0,11,0
17008,17,008,29,29,9023,4862,4161,38,6,28,4818,3860,930,0,28,0
17010,17,010,45,45,12460,5027,7433,30,9,22,4988,4491,475,0,22,0
17011,17,011,36,36,8977,4292,4685,4,0,9,4288,4002,277,0,9,0
17012,17,012,26,26,7656,3743,3913,38,1,13,3704,3337,354,0,13,0
17013,17,013,42,42,11346,6004,5342,82,10,66,5912,4964,882,0,66,0
17014,17,014,18,18,5120,3004,2116,24,7,20,2973,2353,600,0,20,0
17015,17,015,39,39,10290,5554,4736,82,14,55,5458,4713,690,0,55,0
17016,17,016,23,23,7263,4432,2831,46,9,60,4377,1799,2518,0,60,0
17017,17,017,19,19,6069,3106,2963,26,2,21,3078,2435,622,0,21,0
17019,17,019,80,80,24332,11822,12510,146,32,115,11644,9765,1764,0,115,0
17022,17,022,13,13,3898,1722,2176,5,4,11,1713,1514,188,0,11,0
17025,17,025,31,31,9374,4566,4808,100,16,32,4450,3435,983,0,32,0
17026,17,026,37,37,9801,4633,5168,14,5,15,4614,4335,264,0,15,0
17027,17,027,29,29,7862,4320,3542,54,13,36,4253,3855,362,0,36,0
17028,17,028,26,26,6022,3202,2820,58,16,36,3128,2509,583,0,36,0
17031,17,031,24,24,7175,3658,3517,29,2,14,3627,3250,363,0,14,0
17032,17,032,19,19,4707,2014,2693,55,3,14,1956,1484,458,0,14,0
17034,17,034,52,52,14222,7525,6697,57,9,41,7459,6393,1025,0,41,0
17035,17,035,25,25,7564,4567,2997,72,15,25,4480,3498,957,0,25,0
17037,17,037,21,21,4272,2211,2061,46,13,49,2152,1447,656,0,49,0
17038,17,038,43,43,9194,5459,3735,12,5,8,5442,5343,91,0,8,0
17040,17,040,12,12,3186,1704,1482,21,6,10,1677,1511,156,0,10,0
17043,17,043,49,49,14631,7854,6777,216,30,81,7608,6002,1525,0,81,0
17048,17,048,33,33,10281,4985,5296,19,10,54,4956,3204,1698,0,54,0
17060,17,060,22,22,6103,3118,2985,58,5,24,3055,2378,653,0,24,0
17082,17,082,41,41,12574,6744,5830,79,8,61,6657,4584,2012,0,61,0
19001,19,001,847,847,297225,199625,97600,1788,155,3025,197682,91103,103554,0,3025,0
19004,19,004,69,69,23609,15031,8578,95,16,198,14920,2963,11759,0,198,0
19007,19,007,24,24,8144,5465,2679,35,3,67,5427,1419,3941,0,67,0
19010,19,010,50,50,16324,10389,5935,92,19,137,10278,3794,6347,0,137,0
19013,19,013,55,55,18466,13986,4480,320,95,503,13571,4749,8319,0,503,0
19016,19,016,11,11,3577,2337,1240,11,1,33,2325,949,1343,0,33,0
19019,19,019,20,20,6388,4167,2221,47,14,57,4106,1231,2818,0,57,0
19022,19,022,78,78,26179,17619,8560,299,21,270,17299,7282,9747,0,270,0
19025,19,025,26,26,8835,6000,2835,58,10,71,5932,1349,4512,0,71,0
19028,19,028,22,22,6862,4291,2571,17,6,43,4268,871,3354,0,43,0
19031,19,031,13,13,3962,2643,1319,11,6,34,2626,665,1927,0,34,0
19034,19,034,179,179,61091,40563,20528,396,46,657,40121,13153,26311,0,657,0
19037,19,037,63,63,20740,13617,7123,136,22,184,13459,4054,9221,0,184,0
19040,19,040,44,44,14792,9350,5442,101,29,149,9220,2401,6670,0,149,0
19043,19,043,20,20,6401,4272,2129,49,9,78,4214,1568,2568,0,78,0
19044,19,044,68,68,22743,15228,7515,184,36,272,15008,6396,8340,0,272,0
19046,19,046,25,25,7907,5361,2546,32,12,55,5317,2340,2922,0,55,0
19047,19,047,38,38,12974,7912,5062,68,16,134,7828,2769,4925,0,134,0
19049,19,049,137,137,47132,29590,17542,267,85,478,29238,10074,18686,0,478,0
19050,19,050,16,16,5408,3357,2051,36,10,51,3311,1272,1988,0,51,0
19051,19,051,28,28,9138,6314,2824,33,9,98,6272,1073,5101,0,98,0
19052,19,052,17,17,5480,3866,1614,18,3,44,3845,692,3109,0,44,0
19055,19,055,67,67,22390,14331,8059,135,15,178,14181,5053,8950,0,178,0
19056,19,056,31,31,10372,6953,3419,95,14,134,6844,1940,4770,0,134,0
19058,19,058,31,31,10600,7026,3574,50,9,101,6967,1829,5037,0,101,0
19061,19,061,326,326,114211,73141,41070,596,93,1069,72452,28484,42899,0,1069,0
19064,19,064,60,60,20378,14086,6292,137,12,192,13937,6017,7728,0,192,0
19067,19,067,33,33,10860,7272,3588,24,6,89,7242,1377,5776,0,89,0
19070,19,070,84,84,27670,18108,9562,122,46,266,17940,6483,11191,0,266,0
19074,19,074,27,27,8908,5810,3098,26,2,89,5782,1101,4592,0,89,0
19076,19,076,48,48,16582,10751,5831,99,32,141,10620,2768,7711,0,141,0
19079,19,079,41,41,13183,8789,4394,52,8,134,8729,2171,6424,0,134,0
19082,19,082,34,34,11160,7554,3606,111,25,128,7418,2307,4983,0,128,0
19085,19,085,20,20,6800,4343,2457,23,7,42,4313,894,3377,0,42,0
19088,19,088,51,51,17287,11347,5940,84,13,151,11250,2662,8437,0,151,0
19091,19,091,22,22,6830,4514,2316,33,9,44,4472,2034,2394,0,44,0
19094,19,094,21,21,7131,5194,1937,53,6,73,5135,1761,3301,0,73,0
21001,21,001,1176,1176,408863,248462,160401,1432,123,3489,246907,145942,97476,0,3489,0
21008,21,008,35,35,11156,5978,5178,26,11,45,5941,4539,1357,0,45,0
21010,21,010,93,93,30598,15976,14622,89,18,131,15869,10482,5256,0,131,0
21012,21,012,73,73,24633,13734,10899,105,21,147,13608,6403,7058,0,147,0
21013,21,013,28,28,9175,4396,4779,17,7,25,4372,1782,2565,0,25,0
21015,21,015,47,47,15872,8997,6875,25,22,59,8950,3797,5094,0,59,0
21016,21,016,271,271,94405,53640,40765,353,39,654,53248,34984,17610,0,654,0
21020,21,020,37,37,12450,5986,6464,18,7,29,5961,3546,2386,0,29,0
21025,21,025,159,159,51967,27494,24473,120,40,181,27334,12209,14944,0,181,0
21028,21,028,44,44,14144,7947,6197,26,10,43,7911,3839,4029,0,43,0
21030,21,030,49,49,16758,8954,7804,48,11,74,8895,7069,1752,0,74,0
21031,21,031,167,167,59829,29562,30267,205,29,305,29328,15238,13785,0,305,0
21040,21,040,79,79,24667,12242,12425,28,17,67,12197,4512,7618,0,67,0
21042,21,042,52,52,17271,9671,7600,42,20,104,9609,3834,5671,0,104,0
21046,21,046,33,33,11054,5024,6030,15,9,10,5000,1792,3198,0,10,0
21048,21,048,35,35,10033,5784,4249,22,13,36,5749,2191,3522,0,36,0
21049,21,049,94,94,31109,16891,14218,91,30,141,16770,10012,6617,0,141,0
21052,21,052,131,131,44068,24503,19565,118,38,199,24347,14214,9934,0,199,0
21055,21,055,69,69,22817,11142,11675,95,20,94,11027,7164,3769,0,94,0
21058,21,058,26,26,7771,4525,3246,22,3,29,4500,3015,1456,0,29,0
21060,21,060,42,42,12701,6804,5897,29,12,58,6763,2648,4057,0,58,0
21067,21,067,25,25,8480,5139,3341,16,6,48,5117,2765,2304,0,48,0
21070,21,070,58,58,18164,9877,8287,20,17,60,9840,4055,5725,0,60,0
21073,21,073,32,32,9531,5315,4216,6,5,31,5304,2232,3041,0,31,0
21076,21,076,55,55,17898,10605,7293,37,10,75,10558,3115,7368,0,75,0
21078,21,078,29,29,9306,5181,4125,23,7,33,5151,2992,2126,0,33,0
21079,21,079,65,65,21932,10449,11483,82,16,74,10351,6651,3626,0,74,0
21085,21,085,40,40,12231,6557,5674,19,11,62,6527,3774,2691,0,62,0
21090,21,090,31,31,9272,5138,4134,5,15,33,5118,1618,3467,0,33,0
21095,21,095,153,153,51263,26852,24411,175,33,234,26644,20814,5596,0,234,0
23001,23,001,907,907,315437,239763,75674,1633,161,2678,237969,175744,59547,0,2678,0
23004,23,004,25,25,7492,5311,2181,66,8,95,5237,2322,2820,0,95,0
23007,23,007,20,20,6319,4874,1445,43,6,26,4825,3495,1304,0,26,0
23010,23,010,25,25,7091,4829,2262,14,1,41,4814,4003,770,0,41,0
23013,23,013,19,19,6071,4026,2045,47,5,69,3974,2366,1539,0,69,0
23016,23,016,92,92,24240,15071,9169,200,40,173,14831,13026,1632,0,173,0
23017,23,017,16,16,5343,3709,1634,57,6,79,3646,2399,1168,0,79,0
23019,23,019,60,60,18981,12419,6562,133,26,150,12260,6449,5661,0,150,0
23022,23,022,25,25,7150,4943,2207,105,18,89,4820,3647,1084,0,89,0
23025,23,025,35,35,9051,6558,2493,55,8,70,6495,4296,2129,0,70,0
23028,23,028,21,21,6451,4552,1899,18,3,35,4531,3005,1491,0,35,0
23031,23,031,35,35,11429,8196,3233,34,8,76,8154,6837,1241,0,76,0
23034,23,034,24,24,8200,5805,2395,40,10,40,5755,4472,1243,0,40,0
23037,23,037,80,80,26589,19868,6721,82,47,131,19739,16369,3239,0,131,0
23038,23,038,37,37,11645,8995,2650,55,15,80,8925,6679,2166,0,80,0
23039,23,039,27,27,7738,5752,1986,39,2,64,5711,5384,263,0,64,0
23040,23,040,25,25,7149,5104,2045,61,14,53,5029,4614,362,0,53,0
23041,23,041,60,60,17849,10718,7131,137,45,98,10536,9777,661,0,98,0
